plate,well,dye,sample,target
CAMTA2,H10,SYBR,2705,CAMTA2
CAMTA2,H11,SYBR,1934,CAMTA2
CAMTA2,H12,SYBR,2706,CAMTA2
CAMTA2,H13,SYBR,1935,CAMTA2
CAMTA2,H14,SYBR,2752,CAMTA2
CAMTA2,H15,SYBR,1936,CAMTA2
CAMTA2,H16,SYBR,2753,CAMTA2
CAMTA2,H17,SYBR,1937,CAMTA2
CAMTA2,H18,SYBR,2754,CAMTA2
CAMTA2,H19,SYBR,1938,CAMTA2
CAMTA2,H20,SYBR,2755,CAMTA2
CAMTA2,H21,SYBR,1774,CAMTA2
CAMTA2,H22,SYBR,2756,CAMTA2
CAMTA2,H23,SYBR,1775,CAMTA2
CAMTA2,H24,SYBR,2757,CAMTA2
CAMTA2,I1,SYBR,318,CAMTA2
CAMTA2,I2,SYBR,1963,CAMTA2
CAMTA2,I3,SYBR,130,CAMTA2
CAMTA2,I4,SYBR,1964,CAMTA2
CAMTA2,I5,SYBR,320,CAMTA2
CAMTA2,I6,SYBR,1965,CAMTA2
CAMTA2,I7,SYBR,321,CAMTA2
CAMTA2,I8,SYBR,1966,CAMTA2
CAMTA2,I9,SYBR,323,CAMTA2
CAMTA2,I10,SYBR,1967,CAMTA2
CAMTA2,I11,SYBR,267,CAMTA2
CAMTA2,I12,SYBR,1968,CAMTA2
CAMTA2,I13,SYBR,330,CAMTA2
CAMTA2,I14,SYBR,2067,CAMTA2
CAMTA2,I15,SYBR,332,CAMTA2
CAMTA2,I16,SYBR,2068,CAMTA2
CAMTA2,I17,SYBR,193,CAMTA2
CAMTA2,I18,SYBR,2069,CAMTA2
CAMTA2,I19,SYBR,334,CAMTA2
CAMTA2,I20,SYBR,2070,CAMTA2
CAMTA2,I21,SYBR,116,CAMTA2
CAMTA2,I22,SYBR,2071,CAMTA2
CAMTA2,I23,SYBR,338,CAMTA2
CAMTA2,I24,SYBR,2084,CAMTA2
CAMTA2,J1,SYBR,1776,CAMTA2
CAMTA2,J2,SYBR,2758,CAMTA2
CAMTA2,J3,SYBR,1777,CAMTA2
CAMTA2,J4,SYBR,2759,CAMTA2
CAMTA2,J5,SYBR,1779,CAMTA2
CAMTA2,J6,SYBR,2772,CAMTA2
CAMTA2,J7,SYBR,1780,CAMTA2
CAMTA2,J8,SYBR,2761,CAMTA2
CAMTA2,J9,SYBR,1781,CAMTA2
CAMTA2,J10,SYBR,2762,CAMTA2
CAMTA2,J11,SYBR,1784,CAMTA2
CAMTA2,J12,SYBR,2763,CAMTA2
CAMTA2,J13,SYBR,1785,CAMTA2
CAMTA2,J14,SYBR,2764,CAMTA2
CAMTA2,J15,SYBR,1786,CAMTA2
CAMTA2,J16,SYBR,2765,CAMTA2
CAMTA2,J17,SYBR,1787,CAMTA2
CAMTA2,J18,SYBR,2768,CAMTA2
CAMTA2,J19,SYBR,1788,CAMTA2
CAMTA2,J20,SYBR,2769,CAMTA2
CAMTA2,J21,SYBR,1789,CAMTA2
CAMTA2,J22,SYBR,2770,CAMTA2
CAMTA2,J23,SYBR,1790,CAMTA2
CAMTA2,J24,SYBR,2771,CAMTA2
CAMTA2,K1,SYBR,192,CAMTA2
CAMTA2,K2,SYBR,2085,CAMTA2
CAMTA2,K3,SYBR,772,CAMTA2
CAMTA2,K4,SYBR,2086,CAMTA2
CAMTA2,K5,SYBR,824,CAMTA2
CAMTA2,K6,SYBR,2087,CAMTA2
CAMTA2,K7,SYBR,346,CAMTA2
CAMTA2,K8,SYBR,2088,CAMTA2
CAMTA2,K9,SYBR,1178,CAMTA2
CAMTA2,K10,SYBR,2089,CAMTA2
CAMTA2,K11,SYBR,769,CAMTA2
CAMTA2,K12,SYBR,2090,CAMTA2
CAMTA2,K13,SYBR,764,CAMTA2
CAMTA2,K14,SYBR,2091,CAMTA2
CAMTA2,K15,SYBR,1179,CAMTA2
CAMTA2,K16,SYBR,2092,CAMTA2
CAMTA2,K17,SYBR,111,CAMTA2
CAMTA2,K18,SYBR,2093,CAMTA2
CAMTA2,K19,SYBR,194,CAMTA2
CAMTA2,K20,SYBR,2015,CAMTA2
CAMTA2,K21,SYBR,1751,CAMTA2
CAMTA2,K22,SYBR,2016,CAMTA2
CAMTA2,K23,SYBR,1752,CAMTA2
CAMTA2,K24,SYBR,2017,CAMTA2
CAMTA2,L1,SYBR,1791,CAMTA2
CAMTA2,L2,SYBR,2760,CAMTA2
CAMTA2,L3,SYBR,1792,CAMTA2
CAMTA2,L4,SYBR,2774,CAMTA2
CAMTA2,L5,SYBR,1793,CAMTA2
CAMTA2,L6,SYBR,2775,CAMTA2
CAMTA2,L7,SYBR,1794,CAMTA2
CAMTA2,L8,SYBR,2776,CAMTA2
CAMTA2,L9,SYBR,1795,CAMTA2
CAMTA2,L10,SYBR,2777,CAMTA2
CAMTA2,L11,SYBR,1796,CAMTA2
CAMTA2,L12,SYBR,2778,CAMTA2
CAMTA2,L13,SYBR,1797,CAMTA2
CAMTA2,L14,SYBR,2780,CAMTA2
CAMTA2,L15,SYBR,1798,CAMTA2
CAMTA2,L16,SYBR,2781,CAMTA2
CAMTA2,L17,SYBR,1799,CAMTA2
CAMTA2,L18,SYBR,2782,CAMTA2
CAMTA2,L19,SYBR,1800,CAMTA2
CAMTA2,L20,SYBR,2783,CAMTA2
CAMTA2,L21,SYBR,1801,CAMTA2
CAMTA2,L22,SYBR,2784,CAMTA2
CAMTA2,L23,SYBR,1802,CAMTA2
CAMTA2,L24,SYBR,2785,CAMTA2
CAMTA2,M1,SYBR,1753,CAMTA2
CAMTA2,M2,SYBR,2021,CAMTA2
CAMTA2,M3,SYBR,1754,CAMTA2
CAMTA2,M4,SYBR,2022,CAMTA2
CAMTA2,M5,SYBR,1755,CAMTA2
CAMTA2,M6,SYBR,2025,CAMTA2
CAMTA2,M7,SYBR,1756,CAMTA2
CAMTA2,M8,SYBR,2098,CAMTA2
CAMTA2,M9,SYBR,1757,CAMTA2
CAMTA2,M10,SYBR,2099,CAMTA2
CAMTA2,M11,SYBR,1758,CAMTA2
CAMTA2,M12,SYBR,2100,CAMTA2
CAMTA2,M13,SYBR,1759,CAMTA2
CAMTA2,M14,SYBR,2101,CAMTA2
CAMTA2,M15,SYBR,1760,CAMTA2
CAMTA2,M16,SYBR,2102,CAMTA2
CAMTA2,M17,SYBR,1761,CAMTA2
CAMTA2,M18,SYBR,2103,CAMTA2
CAMTA2,M19,SYBR,1762,CAMTA2
CAMTA2,M20,SYBR,2104,CAMTA2
CAMTA2,M21,SYBR,1763,CAMTA2
CAMTA2,M22,SYBR,2105,CAMTA2
CAMTA2,M23,SYBR,1764,CAMTA2
CAMTA2,M24,SYBR,2106,CAMTA2
CAMTA2,N1,SYBR,1803,CAMTA2
CAMTA2,N2,SYBR,2786,CAMTA2
CAMTA2,N3,SYBR,1804,CAMTA2
CAMTA2,N4,SYBR,2788,CAMTA2
CAMTA2,N5,SYBR,1805,CAMTA2
CAMTA2,N6,SYBR,2793,CAMTA2
CAMTA2,N7,SYBR,1806,CAMTA2
CAMTA2,N8,SYBR,2794,CAMTA2
CAMTA2,N9,SYBR,1810,CAMTA2
CAMTA2,N10,SYBR,2795,CAMTA2
CAMTA2,N11,SYBR,1811,CAMTA2
CAMTA2,N12,SYBR,2796,CAMTA2
CAMTA2,N13,SYBR,1812,CAMTA2
CAMTA2,N14,SYBR,STD_150000,CAMTA2
CAMTA2,N15,SYBR,1813,CAMTA2
CAMTA2,N16,SYBR,STD_150000,CAMTA2
CAMTA2,N17,SYBR,1815,CAMTA2
CAMTA2,N18,SYBR,STD_150000,CAMTA2
CAMTA2,N19,SYBR,1816,CAMTA2
CAMTA2,N20,SYBR,STD_15000,CAMTA2
CAMTA2,N21,SYBR,1818,CAMTA2
CAMTA2,N22,SYBR,STD_15000,CAMTA2
CAMTA2,N23,SYBR,1819,CAMTA2
CAMTA2,N24,SYBR,STD_15000,CAMTA2
CAMTA2,O1,SYBR,1765,CAMTA2
CAMTA2,O2,SYBR,2107,CAMTA2
CAMTA2,O3,SYBR,1766,CAMTA2
CAMTA2,O4,SYBR,2108,CAMTA2
CAMTA2,O5,SYBR,1767,CAMTA2
CAMTA2,O6,SYBR,2110,CAMTA2
CAMTA2,O7,SYBR,1769,CAMTA2
CAMTA2,O8,SYBR,2112,CAMTA2
CAMTA2,O9,SYBR,1770,CAMTA2
CAMTA2,O10,SYBR,2114,CAMTA2
CAMTA2,O11,SYBR,1771,CAMTA2
CAMTA2,O12,SYBR,2115,CAMTA2
CAMTA2,O13,SYBR,1772,CAMTA2
CAMTA2,O14,SYBR,2116,CAMTA2
CAMTA2,O15,SYBR,1773,CAMTA2
CAMTA2,O16,SYBR,2118,CAMTA2
CAMTA2,O17,SYBR,1879,CAMTA2
CAMTA2,O18,SYBR,2119,CAMTA2
CAMTA2,O19,SYBR,1880,CAMTA2
CAMTA2,O20,SYBR,2121,CAMTA2
CAMTA2,O21,SYBR,1881,CAMTA2
CAMTA2,O22,SYBR,2122,CAMTA2
CAMTA2,O23,SYBR,1882,CAMTA2
CAMTA2,O24,SYBR,2159,CAMTA2
CAMTA2,P1,SYBR,1820,CAMTA2
CAMTA2,P2,SYBR,STD_1500,CAMTA2
CAMTA2,P3,SYBR,1821,CAMTA2
CAMTA2,P4,SYBR,STD_1500,CAMTA2
CAMTA2,P5,SYBR,1822,CAMTA2
CAMTA2,P6,SYBR,STD_1500,CAMTA2
CAMTA2,P7,SYBR,1823,CAMTA2
CAMTA2,P8,SYBR,STD_150,CAMTA2
CAMTA2,P9,SYBR,1824,CAMTA2
CAMTA2,P10,SYBR,STD_150,CAMTA2
CAMTA2,P11,SYBR,1825,CAMTA2
CAMTA2,P12,SYBR,STD_150,CAMTA2
CAMTA2,P13,SYBR,1826,CAMTA2
CAMTA2,P14,SYBR,STD_15,CAMTA2
CAMTA2,P15,SYBR,1827,CAMTA2
CAMTA2,P16,SYBR,STD_15,CAMTA2
CAMTA2,P17,SYBR,1828,CAMTA2
CAMTA2,P18,SYBR,STD_15,CAMTA2
CAMTA2,P19,SYBR,1829,CAMTA2
CAMTA2,P20,SYBR,water,NA
CAMTA2,P21,SYBR,1830,CAMTA2
CAMTA2,P22,SYBR,water,NA
CAMTA2,P23,SYBR,1831,CAMTA2
CAMTA2,P24,SYBR,water,NA
CAMTA1,A1,SYBR,1495,CAMTA1
CAMTA1,A2,SYBR,1832,CAMTA1
CAMTA1,A3,SYBR,1496,CAMTA1
CAMTA1,A4,SYBR,1834,CAMTA1
CAMTA1,A5,SYBR,1497,CAMTA1
CAMTA1,A6,SYBR,1835,CAMTA1
CAMTA1,A7,SYBR,1498,CAMTA1
CAMTA1,A8,SYBR,1836,CAMTA1
CAMTA1,A9,SYBR,1499,CAMTA1
CAMTA1,A10,SYBR,1837,CAMTA1
CAMTA1,A11,SYBR,1500,CAMTA1
CAMTA1,A12,SYBR,1839,CAMTA1
CAMTA1,A13,SYBR,1501,CAMTA1
CAMTA1,A14,SYBR,1840,CAMTA1
CAMTA1,A15,SYBR,1503,CAMTA1
CAMTA1,A16,SYBR,1841,CAMTA1
CAMTA1,A17,SYBR,1507,CAMTA1
CAMTA1,A18,SYBR,1842,CAMTA1
CAMTA1,A19,SYBR,1508,CAMTA1
CAMTA1,A20,SYBR,1844,CAMTA1
CAMTA1,A21,SYBR,1510,CAMTA1
CAMTA1,A22,SYBR,1846,CAMTA1
CAMTA1,A23,SYBR,1511,CAMTA1
CAMTA1,A24,SYBR,1848,CAMTA1
CAMTA1,B1,SYBR,1883,CAMTA1
CAMTA1,B2,SYBR,2160,CAMTA1
CAMTA1,B3,SYBR,1884,CAMTA1
CAMTA1,B4,SYBR,2161,CAMTA1
CAMTA1,B5,SYBR,1885,CAMTA1
CAMTA1,B6,SYBR,2162,CAMTA1
CAMTA1,B7,SYBR,1886,CAMTA1
CAMTA1,B8,SYBR,2163,CAMTA1
CAMTA1,B9,SYBR,1887,CAMTA1
CAMTA1,B10,SYBR,2164,CAMTA1
CAMTA1,B11,SYBR,1888,CAMTA1
CAMTA1,B12,SYBR,2165,CAMTA1
CAMTA1,B13,SYBR,1889,CAMTA1
CAMTA1,B14,SYBR,2166,CAMTA1
CAMTA1,B15,SYBR,1890,CAMTA1
CAMTA1,B16,SYBR,2167,CAMTA1
CAMTA1,B17,SYBR,1891,CAMTA1
CAMTA1,B18,SYBR,2168,CAMTA1
CAMTA1,B19,SYBR,1892,CAMTA1
CAMTA1,B20,SYBR,2169,CAMTA1
CAMTA1,B21,SYBR,1893,CAMTA1
CAMTA1,B22,SYBR,2170,CAMTA1
CAMTA1,B23,SYBR,1894,CAMTA1
CAMTA1,B24,SYBR,2171,CAMTA1
CAMTA1,C1,SYBR,1512,CAMTA1
CAMTA1,C2,SYBR,1849,CAMTA1
CAMTA1,C3,SYBR,1513,CAMTA1
CAMTA1,C4,SYBR,1850,CAMTA1
CAMTA1,C5,SYBR,1514,CAMTA1
CAMTA1,C6,SYBR,1852,CAMTA1
CAMTA1,C7,SYBR,1515,CAMTA1
CAMTA1,C8,SYBR,1853,CAMTA1
CAMTA1,C9,SYBR,1516,CAMTA1
CAMTA1,C10,SYBR,1854,CAMTA1
CAMTA1,C11,SYBR,1517,CAMTA1
CAMTA1,C12,SYBR,1855,CAMTA1
CAMTA1,C13,SYBR,1535,CAMTA1
CAMTA1,C14,SYBR,1856,CAMTA1
CAMTA1,C15,SYBR,1536,CAMTA1
CAMTA1,C16,SYBR,1857,CAMTA1
CAMTA1,C17,SYBR,1538,CAMTA1
CAMTA1,C18,SYBR,1858,CAMTA1
CAMTA1,C19,SYBR,1539,CAMTA1
CAMTA1,C20,SYBR,1859,CAMTA1
CAMTA1,C21,SYBR,1540,CAMTA1
CAMTA1,C22,SYBR,1860,CAMTA1
CAMTA1,C23,SYBR,1541,CAMTA1
CAMTA1,C24,SYBR,1861,CAMTA1
CAMTA1,D1,SYBR,1895,CAMTA1
CAMTA1,D2,SYBR,2172,CAMTA1
CAMTA1,D3,SYBR,1896,CAMTA1
CAMTA1,D4,SYBR,939,CAMTA1
CAMTA1,D5,SYBR,1897,CAMTA1
CAMTA1,D6,SYBR,1136,CAMTA1
CAMTA1,D7,SYBR,1898,CAMTA1
CAMTA1,D8,SYBR,1231,CAMTA1
CAMTA1,D9,SYBR,1899,CAMTA1
CAMTA1,D10,SYBR,1687,CAMTA1
CAMTA1,D11,SYBR,1901,CAMTA1
CAMTA1,D12,SYBR,2530,CAMTA1
CAMTA1,D13,SYBR,1902,CAMTA1
CAMTA1,D14,SYBR,2659,CAMTA1
CAMTA1,D15,SYBR,1905,CAMTA1
CAMTA1,D16,SYBR,2660,CAMTA1
CAMTA1,D17,SYBR,1906,CAMTA1
CAMTA1,D18,SYBR,2661,CAMTA1
CAMTA1,D19,SYBR,1907,CAMTA1
CAMTA1,D20,SYBR,2666,CAMTA1
CAMTA1,D21,SYBR,1908,CAMTA1
CAMTA1,D22,SYBR,2709,CAMTA1
CAMTA1,D23,SYBR,1909,CAMTA1
CAMTA1,D24,SYBR,2710,CAMTA1
CAMTA1,E1,SYBR,1542,CAMTA1
CAMTA1,E2,SYBR,1939,CAMTA1
CAMTA1,E3,SYBR,1693,CAMTA1
CAMTA1,E4,SYBR,1940,CAMTA1
CAMTA1,E5,SYBR,1694,CAMTA1
CAMTA1,E6,SYBR,1941,CAMTA1
CAMTA1,E7,SYBR,1695,CAMTA1
CAMTA1,E8,SYBR,1942,CAMTA1
CAMTA1,E9,SYBR,1696,CAMTA1
CAMTA1,E10,SYBR,1943,CAMTA1
CAMTA1,E11,SYBR,1697,CAMTA1
CAMTA1,E12,SYBR,1944,CAMTA1
CAMTA1,E13,SYBR,1698,CAMTA1
CAMTA1,E14,SYBR,1945,CAMTA1
CAMTA1,E15,SYBR,1699,CAMTA1
CAMTA1,E16,SYBR,1946,CAMTA1
CAMTA1,E17,SYBR,1700,CAMTA1
CAMTA1,E18,SYBR,1947,CAMTA1
CAMTA1,E19,SYBR,1701,CAMTA1
CAMTA1,E20,SYBR,1948,CAMTA1
CAMTA1,E21,SYBR,1702,CAMTA1
CAMTA1,E22,SYBR,1949,CAMTA1
CAMTA1,E23,SYBR,1686,CAMTA1
CAMTA1,E24,SYBR,1950,CAMTA1
CAMTA1,F1,SYBR,1910,CAMTA1
CAMTA1,F2,SYBR,2711,CAMTA1
CAMTA1,F3,SYBR,1912,CAMTA1
CAMTA1,F4,SYBR,2712,CAMTA1
CAMTA1,F5,SYBR,1914,CAMTA1
CAMTA1,F6,SYBR,2713,CAMTA1
CAMTA1,F7,SYBR,1915,CAMTA1
CAMTA1,F8,SYBR,2714,CAMTA1
CAMTA1,F9,SYBR,1916,CAMTA1
CAMTA1,F10,SYBR,2715,CAMTA1
CAMTA1,F11,SYBR,1917,CAMTA1
CAMTA1,F12,SYBR,2718,CAMTA1
CAMTA1,F13,SYBR,1918,CAMTA1
CAMTA1,F14,SYBR,2719,CAMTA1
CAMTA1,F15,SYBR,1919,CAMTA1
CAMTA1,F16,SYBR,2738,CAMTA1
CAMTA1,F17,SYBR,1920,CAMTA1
CAMTA1,F18,SYBR,2742,CAMTA1
CAMTA1,F19,SYBR,1921,CAMTA1
CAMTA1,F20,SYBR,2743,CAMTA1
CAMTA1,F21,SYBR,1922,CAMTA1
CAMTA1,F22,SYBR,2745,CAMTA1
CAMTA1,F23,SYBR,1924,CAMTA1
CAMTA1,F24,SYBR,2746,CAMTA1
CAMTA1,G1,SYBR,1677,CAMTA1
CAMTA1,G2,SYBR,1951,CAMTA1
CAMTA1,G3,SYBR,1672,CAMTA1
CAMTA1,G4,SYBR,1952,CAMTA1
CAMTA1,G5,SYBR,520,CAMTA1
CAMTA1,G6,SYBR,1953,CAMTA1
CAMTA1,G7,SYBR,1716,CAMTA1
CAMTA1,G8,SYBR,1954,CAMTA1
CAMTA1,G9,SYBR,1717,CAMTA1
CAMTA1,G10,SYBR,1955,CAMTA1
CAMTA1,G11,SYBR,1720,CAMTA1
CAMTA1,G12,SYBR,1956,CAMTA1
CAMTA1,G13,SYBR,1722,CAMTA1
CAMTA1,G14,SYBR,1957,CAMTA1
CAMTA1,G15,SYBR,827,CAMTA1
CAMTA1,G16,SYBR,1958,CAMTA1
CAMTA1,G17,SYBR,266,CAMTA1
CAMTA1,G18,SYBR,1959,CAMTA1
CAMTA1,G19,SYBR,127,CAMTA1
CAMTA1,G20,SYBR,1960,CAMTA1
CAMTA1,G21,SYBR,315,CAMTA1
CAMTA1,G22,SYBR,1961,CAMTA1
CAMTA1,G23,SYBR,126,CAMTA1
CAMTA1,G24,SYBR,1962,CAMTA1
CAMTA1,H1,SYBR,1928,CAMTA1
CAMTA1,H2,SYBR,2748,CAMTA1
CAMTA1,H3,SYBR,1929,CAMTA1
CAMTA1,H4,SYBR,2253,CAMTA1
CAMTA1,H5,SYBR,1931,CAMTA1
CAMTA1,H6,SYBR,2257,CAMTA1
CAMTA1,H7,SYBR,1932,CAMTA1
